tactic_id,tactic_name,tactic_shortname,technique_id,technique_name,is_subtechnique
TA0005,stealth,stealth,T1055.011,extra window memory injection,True
TA0004,privilege escalation,privilege-escalation,T1055.011,extra window memory injection,True
TA0002,execution,execution,T1053.005,scheduled task,True
TA0003,persistence,persistence,T1053.005,scheduled task,True
TA0004,privilege escalation,privilege-escalation,T1053.005,scheduled task,True
TA0005,stealth,stealth,T1205.002,socket filters,True
TA0003,persistence,persistence,T1205.002,socket filters,True
TA0011,command and control,command-and-control,T1205.002,socket filters,True
TA0005,stealth,stealth,T1066,indicator removal from tools,False
TA0009,collection,collection,T1560.001,archive via utility,True
TA0008,lateral movement,lateral-movement,T1021.005,vnc,True
TA0002,execution,execution,T1047,windows management instrumentation,False
TA0112,defense impairment,defense-impairment,T1687,exploitation for defense impairment,False
TA0003,persistence,persistence,T1156,malicious shell modification,False
TA0009,collection,collection,T1113,screen capture,False
TA0005,stealth,stealth,T1027.011,fileless storage,True
TA0003,persistence,persistence,T1067,bootkit,False
TA0003,persistence,persistence,T1037,boot or logon initialization scripts,False
TA0004,privilege escalation,privilege-escalation,T1037,boot or logon initialization scripts,False
TA0006,credential access,credential-access,T1557,adversary-in-the-middle,False
TA0009,collection,collection,T1557,adversary-in-the-middle,False
TA0007,discovery,discovery,T1033,system owner/user discovery,False
TA0042,resource development,resource-development,T1583,acquire infrastructure,False
TA0005,stealth,stealth,T1218.011,rundll32,True
TA0007,discovery,discovery,T1613,container and resource discovery,False
TA0042,resource development,resource-development,T1583.007,serverless,True
TA0005,stealth,stealth,T1143,hidden window,False
TA0003,persistence,persistence,T1161,lc_load_dylib addition,False
TA0011,command and control,command-and-control,T1132.001,standard encoding,True
TA0005,stealth,stealth,T1027.009,embedded payloads,True
TA0005,stealth,stealth,T1150,plist modification,False
TA0003,persistence,persistence,T1150,plist modification,False
TA0004,privilege escalation,privilege-escalation,T1150,plist modification,False
TA0112,defense impairment,defense-impairment,T1556.003,pluggable authentication modules,True
TA0003,persistence,persistence,T1556.003,pluggable authentication modules,True
TA0006,credential access,credential-access,T1556.003,pluggable authentication modules,True
TA0112,defense impairment,defense-impairment,T1578.004,revert cloud instance,True
TA0005,stealth,stealth,T1148,histcontrol,False
TA0043,reconnaissance,reconnaissance,T1592,gather victim host information,False
TA0043,reconnaissance,reconnaissance,T1596.003,digital certificates,True
TA0009,collection,collection,T1056.001,keylogging,True
TA0006,credential access,credential-access,T1056.001,keylogging,True
TA0005,stealth,stealth,T1564.012,file/path exclusions,True
TA0112,defense impairment,defense-impairment,T1222.002,linux and mac permissions,True
TA0006,credential access,credential-access,T1110.001,password guessing,True
TA0005,stealth,stealth,T1216.001,pubprn,True
TA0043,reconnaissance,reconnaissance,T1597.002,purchase technical data,True
TA0006,credential access,credential-access,T1003,os credential dumping,False
TA0002,execution,execution,T1129,shared modules,False
TA0009,collection,collection,T1602,data from configuration repository,False
TA0040,impact,impact,T1561.002,disk structure wipe,True
TA0040,impact,impact,T1498.001,direct network flood,True
TA0040,impact,impact,T1492,stored data manipulation,False
TA0005,stealth,stealth,T1574.007,path interception by path environment variable,True
TA0002,execution,execution,T1574.007,path interception by path environment variable,True
TA0009,collection,collection,T1213.002,sharepoint,True
TA0005,stealth,stealth,T1006,direct volume access,False
TA0003,persistence,persistence,T1044,file system permissions weakness,False
TA0004,privilege escalation,privilege-escalation,T1044,file system permissions weakness,False
TA0042,resource development,resource-development,T1588.007,artificial intelligence,True
TA0112,defense impairment,defense-impairment,T1666,modify cloud resource hierarchy,False
TA0005,stealth,stealth,T1564.008,email hiding rules,True
TA0040,impact,impact,T1491.002,external defacement,True
TA0005,stealth,stealth,T1027.013,encrypted/encoded file,True
TA0006,credential access,credential-access,T1171,llmnr/nbt-ns poisoning and relay,False
TA0043,reconnaissance,reconnaissance,T1590.005,ip addresses,True
TA0040,impact,impact,T1499.001,os exhaustion flood,True
TA0005,stealth,stealth,T1014,rootkit,False
TA0004,privilege escalation,privilege-escalation,T1546.013,powershell profile,True
TA0003,persistence,persistence,T1546.013,powershell profile,True
TA0002,execution,execution,T1059.007,javascript,True
TA0112,defense impairment,defense-impairment,T1685.003,modify or spoof tool ui,True
TA0043,reconnaissance,reconnaissance,T1590.002,dns,True
TA0003,persistence,persistence,T1501,systemd service,False
TA0040,impact,impact,T1485.001,lifecycle-triggered deletion,True
TA0004,privilege escalation,privilege-escalation,T1514,elevated execution with prompt,False
TA0009,collection,collection,T1123,audio capture,False
TA0003,persistence,persistence,T1543,create or modify system process,False
TA0004,privilege escalation,privilege-escalation,T1543,create or modify system process,False
TA0003,persistence,persistence,T1133,external remote services,False
TA0001,initial access,initial-access,T1133,external remote services,False
TA0005,stealth,stealth,T1109,component firmware,False
TA0003,persistence,persistence,T1109,component firmware,False
TA0004,privilege escalation,privilege-escalation,T1546.006,lc_load_dylib addition,True
TA0003,persistence,persistence,T1546.006,lc_load_dylib addition,True
TA0006,credential access,credential-access,T1539,steal web session cookie,False
TA0002,execution,execution,T1053.007,container orchestration job,True
TA0003,persistence,persistence,T1053.007,container orchestration job,True
TA0004,privilege escalation,privilege-escalation,T1053.007,container orchestration job,True
TA0011,command and control,command-and-control,T1568.002,domain generation algorithms,True
TA0005,stealth,stealth,T1036.007,double file extension,True
TA0004,privilege escalation,privilege-escalation,T1548.002,bypass user account control,True
TA0005,stealth,stealth,T1099,timestomp,False
TA0040,impact,impact,T1496.003,sms pumping,True
TA0007,discovery,discovery,T1016.001,internet connection discovery,True
TA0004,privilege escalation,privilege-escalation,T1548.003,sudo and sudo caching,True
TA0112,defense impairment,defense-impairment,T1685.001,disable or modify windows event log,True
TA0043,reconnaissance,reconnaissance,T1682,query public ai services,False
TA0009,collection,collection,T1560.003,archive via custom method,True
TA0112,defense impairment,defense-impairment,T1578,modify cloud compute infrastructure,False
TA0042,resource development,resource-development,T1584.008,network devices,True
TA0042,resource development,resource-development,T1583.008,malvertising,True
TA0007,discovery,discovery,T1069,permission groups discovery,False
TA0009,collection,collection,T1114,email collection,False
TA0006,credential access,credential-access,T1003.002,security account manager,True
TA0043,reconnaissance,reconnaissance,T1596.002,whois,True
TA0005,stealth,stealth,T1542.001,system firmware,True
TA0003,persistence,persistence,T1542.001,system firmware,True
TA0043,reconnaissance,reconnaissance,T1594,search victim-owned websites,False
TA0007,discovery,discovery,T1069.003,cloud groups,True
TA0005,stealth,stealth,T1574.011,services registry permissions weakness,True
TA0002,execution,execution,T1574.011,services registry permissions weakness,True
TA0043,reconnaissance,reconnaissance,T1596.001,dns/passive dns,True
TA0040,impact,impact,T1499.003,application exhaustion flood,True
TA0003,persistence,persistence,T1163,rc.common,False
TA0001,initial access,initial-access,T1195.001,compromise software dependencies and development tools,True
TA0042,resource development,resource-development,T1588.004,digital certificates,True
TA0042,resource development,resource-development,T1583.002,dns server,True
TA0040,impact,impact,T1561,disk wipe,False
TA0011,command and control,command-and-control,T1071.004,dns,True
TA0006,credential access,credential-access,T1552.005,cloud instance metadata api,True
TA0006,credential access,credential-access,T1555.002,securityd memory,True
TA0007,discovery,discovery,T1615,group policy discovery,False
TA0005,stealth,stealth,T1542.003,bootkit,True
TA0003,persistence,persistence,T1542.003,bootkit,True
TA0009,collection,collection,T1025,data from removable media,False
TA0005,stealth,stealth,T1116,code signing,False
TA0005,stealth,stealth,T1218.013,mavinject,True
TA0006,credential access,credential-access,T1522,cloud instance metadata api,False
TA0005,stealth,stealth,T1093,process hollowing,False
TA0009,collection,collection,T1074.001,local data staging,True
TA0005,stealth,stealth,T1036.005,match legitimate resource name or location,True
TA0011,command and control,command-and-control,T1172,domain fronting,False
TA0042,resource development,resource-development,T1587.003,digital certificates,True
TA0040,impact,impact,T1565.001,stored data manipulation,True
TA0006,credential access,credential-access,T1110.002,password cracking,True
TA0004,privilege escalation,privilege-escalation,T1178,sid-history injection,False
TA0009,collection,collection,T1114.001,local email collection,True
TA0006,credential access,credential-access,T1555.001,keychain,True
TA0003,persistence,persistence,T1547,boot or logon autostart execution,False
TA0004,privilege escalation,privilege-escalation,T1547,boot or logon autostart execution,False
TA0006,credential access,credential-access,T1003.004,lsa secrets,True
TA0003,persistence,persistence,T1013,port monitors,False
TA0004,privilege escalation,privilege-escalation,T1013,port monitors,False
TA0112,defense impairment,defense-impairment,T1600,weaken encryption,False
TA0006,credential access,credential-access,T1606.002,saml tokens,True
