technique_id,technique_name,tactic_id,tactic_name
T1001,data obfuscation,TA0011,command and control
T1001.001,junk data,TA0011,command and control
T1001.002,steganography,TA0011,command and control
T1001.003,protocol or service impersonation,TA0011,command and control
T1002,data compressed,TA0010,exfiltration
T1003,os credential dumping,TA0006,credential access
T1003.001,lsass memory,TA0006,credential access
T1003.002,security account manager,TA0006,credential access
T1003.003,ntds,TA0006,credential access
T1003.004,lsa secrets,TA0006,credential access
T1003.005,cached domain credentials,TA0006,credential access
T1003.006,dcsync,TA0006,credential access
T1003.007,proc filesystem,TA0006,credential access
T1003.008,/etc/passwd and /etc/shadow,TA0006,credential access
T1004,winlogon helper dll,TA0003,persistence
T1005,data from local system,TA0009,collection
T1006,direct volume access,TA0005,stealth
T1007,system service discovery,TA0007,discovery
T1008,fallback channels,TA0011,command and control
T1009,binary padding,TA0005,stealth
T1010,application window discovery,TA0007,discovery
T1011,exfiltration over other network medium,TA0010,exfiltration
T1011.001,exfiltration over bluetooth,TA0010,exfiltration
T1012,query registry,TA0007,discovery
T1013,port monitors,TA0003|TA0004,persistence|privilege escalation
T1014,rootkit,TA0005,stealth
T1015,accessibility features,TA0003|TA0004,persistence|privilege escalation
T1016,system network configuration discovery,TA0007,discovery
T1016.001,internet connection discovery,TA0007,discovery
T1016.002,wi-fi discovery,TA0007,discovery
T1017,application deployment software,TA0008,lateral movement
T1018,remote system discovery,TA0007,discovery
T1019,system firmware,TA0003,persistence
T1020,automated exfiltration,TA0010,exfiltration
T1020.001,traffic duplication,TA0010,exfiltration
T1021,remote services,TA0008,lateral movement
T1021.001,remote desktop protocol,TA0008,lateral movement
T1021.002,smb/windows admin shares,TA0008,lateral movement
T1021.003,distributed component object model,TA0008,lateral movement
T1021.004,ssh,TA0008,lateral movement
T1021.005,vnc,TA0008,lateral movement
T1021.006,windows remote management,TA0008,lateral movement
T1021.007,cloud services,TA0008,lateral movement
T1021.008,direct cloud vm connections,TA0008,lateral movement
T1022,data encrypted,TA0010,exfiltration
T1023,shortcut modification,TA0003,persistence
T1024,custom cryptographic protocol,TA0011,command and control
